ID,ISOMERIC SMILES,MW,pAct
CHEMBL98,O=C(CCCCCCC(=O)Nc1ccccc1)NO,264.1473925,7.568636235841013
CHEMBL395976,COc1cc(C(=O)c2cc3cc(/C=C/C(=O)NO)ccc3o2)cc(OC)c1OC,397.1161519479999,5.958607314841775
CHEMBL98,O=C(CCCCCCC(=O)Nc1ccccc1)NO,264.1473925,7.045757490560675
CHEMBL3104855,Cc1c(O)c(O)c(O)c(C=O)c1-c1cc2c(C=O)c(C)c(O)c(O)c2o1,358.06886740799996,5.055517327849831
CHEMBL95152,O=C(CCCCC(=O)c1ccccc1)NO,221.10519334,5.823908740944319
CHEMBL98911,O=C(CCCCCCC(=O)c1cccnc1)NO,250.131742436,6.815308569182402
CHEMBL97108,CC(Cc1ccc(NS(=O)(=O)c2ccccc2)cc1)C(=O)NO,334.09872805599997,4.769551078621726
CHEMBL3698521,O=C(Cc1ccc(CCCCc2ccc3[nH]ccc3c2)cc1)NO,322.168127944,6.42021640338319
CHEMBL497332,CN(Cc1ccc2nccnc2c1)C(=O)c1ccc(C(=O)C(F)(F)F)s1,379.060232284,6.236572006437063
CHEMBL571507,O=C(c1ccc(-c2ccc3[nH]ccc3c2)s1)C(F)(F)F,295.027869536,4.698970004336019
CHEMBL3655983,O=C(NO)c1cnc(NCc2cccnc2)nc1,245.091274592,7.036212172654444
CHEMBL3655982,O=C(NO)c1cnc(NCc2cccs2)nc1,250.05244656,6.669586226650809
CHEMBL2018452,O=C(NO)c1ccc(Cn2c3c(c4ccccc42)CCN(Cc2ccccc2)C3)cc1,411.19467704000004,5.364516253185088
CHEMBL2018304,O=C(NO)c1ccc(Cn2c3c(c4ccccc42)CNCC3)cc1,321.147726848,4.785156151952302
CHEMBL2018299,COc1ccc2c(c1)c1c(n2Cc2ccc(C(=O)NO)cc2)CCN(C)C1,365.1739415960001,5.72584215073632
CHEMBL3664061,Nc1ccc(-c2ccccc2)cc1NC(=O)c1ccc(CNC(=O)Cc2ccccc2)cc1,435.19467704,7.142667503568731
CHEMBL3664066,CC(C)CC(=O)NCc1ccc(C(=O)Nc2cc(-c3cccs3)ccc2N)cc1,407.1667480400001,7.823908740944319
CHEMBL3664078,Nc1ccc(-c2cccs2)cc1NC(=O)c1ccc(CNC(=O)CCc2cccnc2)cc1,456.161997008,7.886056647693163
CHEMBL3664121,NCCNCc1ccc(C(=O)Nc2cc(-c3ccccc3)ccc2O)cc1,361.179026976,7.142667503568731
CHEMBL3664125,O=C(Nc1cc(-c2ccccc2)ccc1O)c1ccc(CNCCn2cccn2)cc1,412.1899260080001,7.481486060122112
CHEMBL3664128,CN(Cc1ccc(C(=O)Nc2cc(-c3ccccc3)ccc2O)cc1)Cc1cnn(C)c1,426.205576072,7.619788758288394
CHEMBL3317810,C[C@@]12CSC(=N1)c1csc(n1)CNC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](Cc1ccccc1)NC2=O,544.127268376,9.537602002101044
CHEMBL5429127,CC(C)(C)OC(=O)N1CCC(COc2ccc(-c3cc(C(=O)NCc4ccc(C(=O)NO)cc4)ccn3)cc2)CC1,560.263484872,8.195179321278838
CHEMBL343448,C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,540.207626872,9.096910013008056
CHEMBL3339031,O=C(CCCCCCC(=O)Nc1cc2c(Nc3ccc(N4CCCCC4)c(F)c3)ncnc2s1)NO,514.216238072,8.26841123481326
CHEMBL3339027,CCN(CC)c1ccc(Nc2ncnc3sc(NC(=O)CCCCCCC(=O)NO)cc23)cc1,484.2256598839999,7.483200295918375
CHEMBL3339011,O=C(CCCCCCC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1)NO,465.10376643200004,7.874193541860473
CHEMBL3311471,O=C(CCCCCCNC(=O)c1ccc2[nH]c(=O)ccc2c1)NO,331.15320615200005,7.619788758288394
CHEMBL3335285,O=C(CCCCc1ncc2n1Cc1ccccc1-2)NO,271.132076784,5.935542010773082
CHEMBL3335284,O=C(CCCCc1ccnn1Cc1cccc(-c2ccccc2)c1)NO,349.179026976,7.455931955649724
